level,notation,prefLabel@de,prefLabel@en
3,402-02,Mechanik,Mechanics
3,402-03,"Leichtbau, Textiltechnik","Lightweight Construction, Textile Technology"
3,402-04,Akustik,Acoustics
3,403-01,Chemische und Thermische Verfahrenstechnik,Chemical and Thermal Process Engineering
3,403-02,Technische Chemie,Technical Chemistry
3,403-03,Mechanische Verfahrenstechnik,Mechanical Process Engineering
3,403-04,Bioverfahrenstechnik,Biological Process Engineering
3,404-01,Energieverfahrenstechnik,Energy Process Engineering
3,404-02,Technische Thermodynamik,Technical Thermodynamics
3,404-03,Strömungsmechanik,Fluid Mechanics
3,404-04,Strömungs- und Kolbenmaschinen,Hydraulic and Turbo Engines and Piston Engines
3,405-01,"Metallurgische, thermische und thermomechanische Behandlung von Werkstoffen","Metallurgical, Thermal and Thermomechanical Treatment of Materials"
3,405-02,Materialien und Werkstoffe der Sinterprozesse und der generativen Fertigungsverfahren,Materials in Sintering Processes and Generative Manufacturing Processes
3,405-03,Beschichtungs- und Oberflächentechnik,Coating and Surface Technology
3,405-04,Mechanische Eigenschaften von metallischen Werkstoffen und ihre mikrostrukturellen Ursachen,Mechanical Properties of Metallic Materials and their Microstructural Origins
3,405-05,Glas und Keramik und darauf basierende Verbundwerkstoffe,"Glass, Ceramics and Derived Composites"
3,405-06,Polymere und biogene Werkstoffe und darauf basierende Verbundstoffe,Polymeric and Biogenic Materials and Derived Composites
3,406-01,Herstellung und Eigenschaften von Funktionsmaterialien,Synthesis and Properties of Functional Materials
3,406-02,Biomaterialien,Biomaterials
3,406-03,Thermodynamik und Kinetik sowie Eigenschaften der Phasen und Gefüge von Werkstoffen,Thermodynamics and Kinetics as well as Properties of Phases and Microstructure of Materials
3,406-04,Computergestütztes Werkstoffdesign und Simulation von Werkstoffverhalten von atomistischer bis mikroskopischer Skala,Computer-Aided Design of Materials and Simulation of Materials Behaviour from Atomic to Microscopic Scale
3,407-01,"Automatisierungstechnik, Regelungssysteme, Robotik, Mechatronik, Cyber Physical Systems","Automation, Control Systems, Robotics, Mechatronics, Cyber Physical Systems"
3,407-02,Messsysteme,Measurement Systems
3,407-03,Mikrosysteme,Microsystems
3,407-04,"Verkehrs- und Transportsysteme, Intelligenter und automatisierter Verkehr","Traffic and Transport Systems, Logistics, Intelligent and Automated Traffic"
3,407-05,"Arbeitswissenschaft, Ergonomie, Mensch-Maschine-Systeme","Human Factors, Ergonomics, Human-Machine Systems"
3,407-06,Biomedizinische Systemtechnik,Biomedical Systems Technology
3,408-01,"Elektronische Halbleiter, Bauelemente und Schaltungen, Integrierte Systeme","Electronic Semiconductors, Components, Circuits, Systems"
3,408-02,"Nachrichten- und Hochfrequenztechnik, Kommunikationstechnik und -netze, Theoretische Elektrotechnik","Communications, High-Frequency and Network Technology, Theoretical Electrical Engineering"
3,408-03,"Elektrische Energieerzeugung, -übertragung, -verteilung und -anwendung","Electrical Energy Generation, Distribution, Application"
3,409-01,Theoretische Informatik,Theoretical Computer Science
3,409-02,Softwaretechnik und Programmiersprachen,Software Engineering and Programming Languages
3,409-03,Sicherheit und Verlässlichkeit,Security and Dependability
3,409-04,"Betriebs-, Kommunikations-, Datenbank- und verteilte Systeme","Operating, Communication, Database and Distributed Systems"
3,409-05,"Interaktive und intelligente Systeme, Bild- und Sprachverarbeitung, Computergraphik und Visualisierung","Interactive and Intelligent Systems, Image and Language Processing, Computer Graphics and Visualisation"
3,409-06,"Informationssysteme, Prozess- und Wissensmanagement","Information Systems, Process and Knowledge Management"
3,409-07,Rechnerarchitekturen und eingebettete Systeme,Computer Architecture and Embedded Systems
3,409-08,Massiv parallele und datenintensive Systeme,Massively Parallel and Data-Intensive Systems
3,410-01,"Architektur, Bau- und Konstruktionsgeschichte, Bauforschung, Ressourcenökonomie im Bauwesen","Architecture, Building and Construction History, Construction Research, Sustainable Building Technology"
3,410-02,"Städtebau/Stadtentwicklung, Raumplanung, Verkehrs- und Infrastrukturplanung, Landschaftsplanung","Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning"
3,410-03,"Baustoffwissenschaften, Bauchemie, Bauphysik","Construction Material Sciences, Chemistry, Building Physics"
3,410-04,"Konstruktiver Ingenieurbau, Bauinformatik und Baubetrieb","Structural Engineering, Building Informatics and Construction Operation"
